name	type	units
Fp1	EEG	microV
Fp2	EEG	microV
F7	EEG	microV
F3	EEG	microV
Fz	EEG	microV
F4	EEG	microV
F8	EEG	microV
FC5	EEG	microV
FC1	EEG	microV
FC2	EEG	microV
FC6	EEG	microV
T7	EEG	microV
C3	EEG	microV
Cz	EEG	microV
C4	EEG	microV
T8	EEG	microV
TP9	EEG	microV
CP5	EEG	microV
CP1	EEG	microV
CP2	EEG	microV
CP6	EEG	microV
TP10	EEG	microV
P7	EEG	microV
P3	EEG	microV
Pz	EEG	microV
P4	EEG	microV
P8	EEG	microV
PO9	EEG	microV
O1	EEG	microV
Oz	EEG	microV
O2	EEG	microV
PO10	EEG	microV
33	EEG	microV
34	EEG	microV
35	EEG	microV
36	EEG	microV
37	EEG	microV
38	EEG	microV
39	EEG	microV
40	EEG	microV
41	EEG	microV
42	EEG	microV
43	EEG	microV
44	EEG	microV
45	EEG	microV
46	EEG	microV
47	EEG	microV
48	EEG	microV
49	EEG	microV
50	EEG	microV
51	EEG	microV
52	EEG	microV
53	EEG	microV
54	EEG	microV
55	EEG	microV
56	EEG	microV
57	EEG	microV
58	EEG	microV
59	EEG	microV
60	EEG	microV
61	EEG	microV
62	EEG	microV
63	EEG	microV
64	EEG	microV
